ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10367002,HZ103159,01/03/2016 11:57:00 PM,016XX W 77TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0611,006,17,71,08B,1166811,1853653,2016,01/10/2016 08:46:55 AM,41.753985135,-87.664263469,"(41.753985135, -87.664263469)"
10366954,HZ103177,01/03/2016 11:45:00 PM,003XX W 42ND ST,0930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,false,false,0925,009,3,37,07,1174795,1877110,2016,01/10/2016 08:46:55 AM,41.818179533,-87.634305993,"(41.818179533, -87.634305993)"
10366945,HZ103160,01/03/2016 11:44:00 PM,055XX N LINCOLN AVE,502R,OTHER OFFENSE,VEHICLE TITLE/REG OFFENSE,STREET,true,false,2011,020,40,4,26,1157929,1936966,2016,01/10/2016 08:46:55 AM,41.982789367,-87.69454123,"(41.982789367, -87.69454123)"
10367534,HZ103498,01/03/2016 11:36:00 PM,081XX S ESSEX AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0422,004,7,46,14,1194260,1851569,2016,01/10/2016 08:46:55 AM,41.747636668,-87.563741805,"(41.747636668, -87.563741805)"
10367701,HZ103576,01/03/2016 11:30:00 PM,092XX S LOWE AVE,0560,ASSAULT,SIMPLE,SIDEWALK,false,true,2223,022,21,73,08A,1173596,1843547,2016,01/10/2016 08:46:55 AM,41.726105457,-87.639697278,"(41.726105457, -87.639697278)"
10369134,HZ104978,01/03/2016 11:30:00 PM,062XX W RAVEN ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,false,1611,016,45,10,08B,,,2016,01/10/2016 08:46:55 AM,,,
10366999,HZ103187,01/03/2016 11:30:00 PM,028XX E 77TH PL,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,0421,004,7,43,05,1196713,1854174,2016,01/10/2016 08:46:55 AM,41.754724423,-87.554667078,"(41.754724423, -87.554667078)"
10367012,HZ103169,01/03/2016 11:30:00 PM,085XX S PARNELL AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,false,0622,006,21,71,08B,1174120,1848220,2016,01/10/2016 08:46:55 AM,41.738917192,-87.637639473,"(41.738917192, -87.637639473)"
10367049,HZ103247,01/03/2016 11:30:00 PM,007XX W 54TH ST,0820,THEFT,$500 AND UNDER,STREET,false,false,0935,009,3,61,06,1172391,1869067,2016,01/10/2016 08:46:55 AM,41.796162054,-87.643361473,"(41.796162054, -87.643361473)"
10366956,HZ103140,01/03/2016 11:25:00 PM,016XX W MORSE AVE,0820,THEFT,$500 AND UNDER,ALLEY,false,false,2431,024,49,1,06,1164332,1946139,2016,01/10/2016 08:46:55 AM,42.007826872,-87.670731417,"(42.007826872, -87.670731417)"
10366938,HZ103144,01/03/2016 11:24:00 PM,088XX S BUFFALO AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,true,true,0424,004,10,46,08B,1199577,1847039,2016,01/10/2016 08:46:55 AM,41.735073873,-87.544411341,"(41.735073873, -87.544411341)"
10366943,HZ103147,01/03/2016 11:20:00 PM,011XX W FULLERTON AVE,0860,THEFT,RETAIL THEFT,GAS STATION,true,false,1932,019,43,7,06,1168450,1916107,2016,01/10/2016 08:46:55 AM,41.925329638,-87.656453395,"(41.925329638, -87.656453395)"
10366917,HZ103141,01/03/2016 11:15:00 PM,024XX W CATALPA AVE,1360,CRIMINAL TRESPASS,TO VEHICLE,STREET,false,false,2011,020,40,4,26,1158858,1936454,2016,01/10/2016 08:46:55 AM,41.981365353,-87.691138689,"(41.981365353, -87.691138689)"
10367001,HZ103148,01/03/2016 11:15:00 PM,078XX S COTTAGE GROVE AVE,0560,ASSAULT,SIMPLE,SIDEWALK,false,false,0624,006,6,69,08A,1182926,1853115,2016,01/10/2016 08:46:55 AM,41.752149728,-87.605224518,"(41.752149728, -87.605224518)"
10366944,HZ103136,01/03/2016 11:10:00 PM,024XX N LUNA AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,true,true,2515,025,30,19,08B,1138968,1915763,2016,01/10/2016 08:46:55 AM,41.924973182,-87.764793672,"(41.924973182, -87.764793672)"
10366972,HZ103154,01/03/2016 11:10:00 PM,038XX W FLOURNOY ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1133,011,24,26,08B,1150968,1896757,2016,01/10/2016 08:46:55 AM,41.872592025,-87.721198108,"(41.872592025, -87.721198108)"
10366929,HZ103132,01/03/2016 11:09:00 PM,017XX W HOWARD ST,0460,BATTERY,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),true,false,2422,024,49,1,08B,1163126,1950347,2016,01/10/2016 08:46:55 AM,42.019399237,-87.675049485,"(42.019399237, -87.675049485)"
10366901,HZ103126,01/03/2016 11:01:00 PM,007XX E 72ND ST,0560,ASSAULT,SIMPLE,APARTMENT,false,false,0323,003,6,69,08A,1182605,1857446,2016,01/10/2016 08:46:55 AM,41.764041886,-87.606266693,"(41.764041886, -87.606266693)"
10373915,HZ103142,01/03/2016 11:00:00 PM,073XX S WOLCOTT AVE,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,CTA BUS,false,false,0735,007,17,67,04B,,,2016,01/10/2016 04:05:09 PM,,,
10366962,HZ103179,01/03/2016 11:00:00 PM,079XX S DOBSON AVE,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,0624,006,8,44,03,1184598,1852672,2016,01/10/2016 08:46:55 AM,41.750895099,-87.599111301,"(41.750895099, -87.599111301)"
